"gene","module"
"100500828","grey"
"100500829","grey"
"100500830","grey"
"100500831","grey"
"100500832","grey"
"100500833","grey"
"100500835","grey"
"100500836","grey"
"100500837","grey"
"100500838","grey"
"100500839","grey"
"100500840","grey"
"100500841","grey"
"100500842","turquoise"
"100500843","grey"
"100500844","grey"
"100500845","grey"
"100500847","grey"
"100500849","turquoise"
"100500850","grey"
"100500851","grey"
"100500852","grey"
"100500853","red"
"100500854","grey"
"100500855","grey"
"100500856","grey"
"100500857","grey"
"100500858","grey"
"100500860","grey"
"100500861","black"
"100500863","grey"
"100500865","grey"
"100500866","grey"
"100500867","grey"
"100500870","grey"
"100500871","grey"
"100500872","blue"
"100500873","grey"
"100500875","grey"
"100500877","grey"
"100500878","grey"
"100500880","grey"
"100500882","grey"
"100500884","grey"
"100500885","grey"
"100500887","grey"
"100500888","turquoise"
"100500889","grey"
"100500890","grey"
"100500891","grey"
"100500893","grey"
"100500895","grey"
"100500896","grey"
"100500899","grey"
"100500900","grey"
"100500901","grey"
"100500904","grey"
"100500905","turquoise"
"100500907","grey"
"100500908","grey"
"100500909","grey"
"100500911","grey"
"100500912","grey"
"100500913","grey"
"100500914","grey"
"100500917","grey"
"100500918","grey"
"100500919","grey"
"100500920","grey"
"100500938","grey"
"100505385","grey"
"100505474","grey"
"100505475","turquoise"
"100505478","grey"
"100505483","brown"
"100505495","tan"
"100505498","grey"
"100505501","grey"
"100505502","grey"
"100505504","grey"
"100505515","grey"
"100505518","grey"
"100505530","grey"
"100505532","grey"
"100505534","grey"
"100505536","grey"
"100505538","grey"
"100505540","grey"
"100505545","grey"
"100505547","grey"
"100505549","grey"
"100505555","brown"
"100505561","grey"
"100505564","grey"
"100505566","grey"
"100505573","grey"
"100505576","yellow"
"100505583","grey"
"100505585","grey"
"100505588","brown"
"100505591","grey"
"100505592","grey"
"100505601","grey"
"100505609","grey"
"100505616","grey"
"100505619","grey"
"100505622","grey"
"100505624","turquoise"
"100505625","grey"
"100505633","grey"
"100505635","turquoise"
"100505636","turquoise"
"100505641","turquoise"
"100505648","brown"
"100505650","grey"
"100505658","grey"
"100505659","grey"
"100505663","grey"
"100505664","grey"
"100505666","grey"
"100505676","grey"
"100505678","blue"
"100505679","grey"
"100505681","grey"
"100505683","grey"
"100505685","grey"
"100505687","grey"
"100505692","grey"
"100505696","magenta"
"100505702","brown"
"100505710","grey"
"100505711","grey"
"100505715","turquoise"
"100505716","grey"
"100505718","grey"
"100505724","grey"
"100505727","grey"
"100505736","grey"
"100505738","grey"
"100505739","grey"
"100505741","grey"
"100505746","grey"
"100505753","grey"
"100505758","turquoise"
"100505761","turquoise"
"100505767","grey"
"100505768","grey"
"100505771","green"
"100505774","grey"
"100505776","grey"
"100505782","grey"
"100505783","grey"
"100505784","grey"
"100505795","grey"
"100505797","yellow"
"100505798","grey"
"100505806","blue"
"100505811","grey"
"100505812","grey"
"100505817","grey"
"100505824","grey"
"100505826","grey"
"100505832","grey"
"100505835","grey"
"100505839","grey"
"100505841","grey"
"100505845","grey"
"100505851","grey"
"100505853","grey"
"100505854","grey"
"100505865","grey"
"100505869","yellow"
"100505874","grey"
"100505875","grey"
"100505876","yellow"
"100505877","grey"
"100505878","grey"
"100505879","grey"
"100505881","turquoise"
"100505887","grey"
"100505890","grey"
"100505893","grey"
"100505894","turquoise"
"100505902","grey"
"100505909","grey"
"100505912","grey"
"100505915","grey"
"100505918","grey"
"100505920","grey"
"100505921","grey"
"100505929","grey"
"100505933","grey"
"100505938","brown"
"100505940","grey"
"100505942","turquoise"
"100505967","grey"
"100505975","grey"
"100505978","turquoise"
"100505984","grey"
"100505985","grey"
"100505989","grey"
"100505993","grey"
"100505994","grey"
"100505996","grey"
"100506007","grey"
"100506012","grey"
"100506013","grey"
"100506014","green"
"100506016","grey"
"100506022","grey"
"100506023","grey"
"100506025","grey"
"100506033","grey"
"100506035","grey"
"100506036","grey"
"100506046","green"
"100506047","grey"
"100506049","grey"
"100506050","grey"
"100506054","grey"
"100506060","green"
"100506068","grey"
"100506070","grey"
"100506071","blue"
"100506076","grey"
"100506082","grey"
"100506083","grey"
"100506084","grey"
"100506085","grey"
"100506098","grey"
"100506100","grey"
"100506107","grey"
"100506108","grey"
"100506113","grey"
"100506114","green"
"100506115","red"
"100506119","grey"
"100506122","grey"
"100506123","grey"
"100506124","grey"
"100506125","grey"
"100506126","grey"
"100506127","blue"
